Id,Title,Sinopse
1,Homem de Ferro,"Tony Stark, um bilionario industrial e genio inventor, e sequestrado e constroi uma armadura tecnologica para escapar."
2,O Incrível Hulk,"Bruce Banner se transforma no Hulk apos um experimento com radiacao gama que da errado, causando transformacoes incontrolaveis."
3,Thor,"Thor, o Deus do Trovao, e banido para a Terra onde aprende humildade e enfrenta seu irmao Loki."
4,Capitão America: O Primeiro Vingador,"Steve Rogers se torna o super-soldado Capitao America para ajudar os Aliados a vencer a Segunda Guerra Mundial."
5,Os Vingadores,"Os herois mais poderosos da Terra se unem para impedir Loki e seu exercito alienigena de escravizar a humanidade."
6,Guardeões da Galaxia,"Um grupo de criminosos intergalacticos se une para salvar o universo de um vilao poderoso."
7,Pantera Negra,"TChalla retorna a Wakanda como rei, mas enfrenta um desafiante que ameaça sua naçcao e o mundo."
8,Doutor Estranho,"Um brilhante, porem arrogante, cirurgiao aprende as artes misticas apos um acidente de carro arruinar sua carreira."
9,Homem-Aranha: De Volta ao Lar,"Peter Parker equilibra a vida escolar com a de Homem-Aranha, enfrentando o vilao Abutre."
10,Vingadores: Ultimato,"Os Vingadores se reunem mais uma vez para desfazer a devastacao causada por Thanos e restaurar o universo."



